epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,460.589,0.87868,0.83147,1.27935,0.85701,0.82407,0.87325,0.61488,1.01299,0.88239,1.42902,0.000803876,0.000803876,0.000803876
43,470.913,0.84396,0.82165,1.25843,0.8659,0.84764,0.89839,0.63603,1.02092,0.79063,1.45632,0.000785127,0.000785127,0.000785127
44,480.97,0.83706,0.81001,1.24013,0.86007,0.8166,0.88545,0.6295,1.06927,0.88853,1.43689,0.000766226,0.000766226,0.000766226
45,491.792,0.80926,0.78264,1.22803,0.89593,0.80789,0.8863,0.60306,1.09962,0.85496,1.519,0.000747192,0.000747192,0.000747192
46,502.139,0.81097,0.77661,1.22266,0.88419,0.77754,0.87734,0.62212,1.01407,0.83025,1.43799,0.000728044,0.000728044,0.000728044
47,512.443,0.82513,0.77772,1.23324,0.89013,0.81514,0.89635,0.64611,0.99616,0.76968,1.43825,0.0007088,0.0007088,0.0007088
48,522.702,0.82553,0.76568,1.23862,0.84932,0.75337,0.85593,0.60854,0.9991,0.88145,1.43146,0.00068948,0.00068948,0.00068948
49,532.735,0.77582,0.73721,1.20268,0.85288,0.78887,0.85901,0.61212,1.02564,0.88891,1.46026,0.000670102,0.000670102,0.000670102
50,544.018,0.79385,0.75355,1.21428,0.80571,0.82629,0.8631,0.63109,0.99664,0.8608,1.41395,0.000650685,0.000650685,0.000650685
51,554.271,0.78237,0.73383,1.19248,0.82575,0.8216,0.87788,0.61246,1.02833,0.82499,1.46592,0.00063125,0.00063125,0.00063125
52,564.239,0.78527,0.72667,1.20377,0.90436,0.80278,0.88688,0.64169,0.97767,0.79872,1.41117,0.000611815,0.000611815,0.000611815
53,574.355,0.77552,0.71849,1.19996,0.83068,0.85898,0.87708,0.63527,0.97476,0.77683,1.39727,0.000592398,0.000592398,0.000592398
54,584.293,0.74493,0.69501,1.18237,0.81077,0.85504,0.86472,0.62985,0.98133,0.80544,1.43176,0.00057302,0.00057302,0.00057302
55,594.442,0.76538,0.6925,1.20283,0.88993,0.77714,0.87529,0.6314,0.98247,0.84281,1.40697,0.0005537,0.0005537,0.0005537
